Date,AAPL,ABBN.SW,BLK,GOOGL,GS,JPM,MSFT,NESN.SW,NOVN.SW,ROG.SW,SCHN.SW,UBSG.SW,^FCHI,^GSPC,^SSMI
2023-10-27,167.36358642578125,29.35114097595215,583.1327514648438,121.86823272705078,282.1387939453125,132.52537536621094,327.3528747558594,94.39006805419922,80.72454833984375,228.2794647216797,171.844970703125,20.618486404418945,6795.3798828125,4117.3701171875,10323.7099609375
2023-10-30,169.42303466796875,29.32175064086914,591.9468383789062,124.15258026123047,292.76605224609375,134.21502685546875,334.7969970703125,94.62250518798828,81.56301879882812,231.68804931640625,170.76419067382812,20.66709327697754,6825.06982421875,4166.81982421875,10382.1904296875
2023-10-31,169.90061950683594,29.821386337280273,596.9778442382812,123.77352142333984,295.4715270996094,135.8167724609375,335.5910339355469,94.9711685180664,81.47628021240234,224.53482055664062,173.41702270507812,20.628206253051758,6885.64990234375,4193.7998046875,10391.16015625
2023-11-01,173.08432006835938,29.870370864868164,600.8096313476562,126.13765716552734,298.9263916015625,135.69960021972656,343.4917297363281,96.24958801269531,82.12200164794922,228.2314453125,173.51528930664062,21.133705139160156,6932.6298828125,4237.85986328125,10503.8896484375
2023-11-02,176.66598510742188,30.32102394104004,628.3828125,127.17509460449219,305.3494873046875,138.12173461914062,345.7250061035156,97.35367584228516,81.59193420410156,228.6635284423828,177.34715270996094,21.328128814697266,7060.68994140625,4317.77978515625,10591.98046875
2023-11-03,175.75067138671875,30.487567901611328,641.52587890625,128.7811279296875,318.83795166015625,139.66488647460938,350.1716003417969,96.6079330444336,80.31976318359375,227.79937744140625,177.8384246826172,21.36701202392578,7047.5,4358.33984375,10579.669921875
2023-11-06,178.31753540039062,30.45817756652832,636.8946533203125,129.9282684326172,315.2274169921875,140.71971130371094,353.8738098144531,96.72415924072266,81.18714904785156,227.70335388183594,177.2489013671875,21.269800186157227,7013.72998046875,4365.97998046875,10576.75
2023-11-07,180.89434814453125,30.38960075378418,632.38037109375,130.64649963378906,315.266357421875,140.65133666992188,357.8440246582031,96.4820327758789,81.12932586669922,226.9832305908203,178.62445068359375,21.658647537231445,6986.22998046875,4378.3798828125,10571.0302734375
2023-11-08,181.9589080810547,30.65411376953125,638.5813598632812,131.51434326171875,315.8599853515625,141.34478759765625,360.494140625,95.94935607910156,81.803955078125,228.6635284423828,178.91921997070312,21.726694107055664,7034.16015625,4382.77978515625,10595.0595703125
2023-11-09,181.48133850097656,31.790538787841797,635.5296020507812,129.91830444335938,312.1813049316406,140.92478942871094,358.0027770996094,96.76290130615234,81.24497985839844,228.6155242919922,182.16156005859375,21.668367385864258,7113.66015625,4347.35009765625,10644.990234375
2023-11-10,185.6953582763672,31.48683738708496,648.3802490234375,132.2624969482422,316.7845153808594,143.01487731933594,366.9159240722656,96.24958801269531,80.8209228515625,227.3192901611328,180.4912567138672,21.40589714050293,7045.0400390625,4415.240234375,10555.349609375
2023-11-13,184.1013946533203,31.868911743164062,644.9190063476562,131.7637176513672,318.14697265625,142.3800506591797,363.9481506347656,95.78471374511719,81.55338287353516,229.2396240234375,179.90174865722656,21.260080337524414,7087.06005859375,4411.5498046875,10590.3896484375
2023-11-14,186.73141479492188,32.67224884033203,679.9216918945312,133.28994750976562,329.6404113769531,144.97801208496094,367.51141357421875,96.26895904541016,81.49555206298828,230.05577087402344,182.84934997558594,21.47394561767578,7185.68017578125,4495.7001953125,10715.73046875
2023-11-15,187.2992706298828,32.8583869934082,691.1246337890625,134.2874755859375,328.5504455566406,146.24769592285156,367.66064453125,96.46266174316406,80.5896224975586,228.51950073242188,181.2772979736328,21.96000099182129,7209.60986328125,4502.8798828125,10708.1904296875
2023-11-16,188.9928436279297,32.91716766357422,697.0331420898438,136.59178161621094,327.6453857421875,147.91781616210938,374.1253356933594,95.5232162475586,80.21376037597656,227.41531372070312,180.19650268554688,21.843347549438477,7168.39990234375,4508.240234375,10643.0703125
2023-11-17,188.972900390625,33.093509674072266,698.9441528320312,134.97576904296875,330.0978088378906,149.25587463378906,367.8396301269531,95.87187194824219,81.0522232055664,228.13543701171875,182.25982666015625,22.494661331176758,7233.91015625,4514.02001953125,10737.3701171875
2023-11-20,190.72625732421875,32.956356048583984,702.9026489257812,135.91346740722656,330.3508605957031,149.7148895263672,375.3883972167969,95.19392395019531,81.22570037841797,227.70335388183594,181.8668212890625,22.621036529541016,7246.93017578125,4547.3798828125,10740.26953125
2023-11-21,189.9193115234375,33.07391357421875,706.52978515625,136.63168334960938,325.9909362792969,149.40235900878906,371.04217529296875,96.6079330444336,81.98707580566406,228.13543701171875,180.78602600097656,22.31968116760254,7229.4501953125,4538.18994140625,10782.23046875
2023-11-22,190.5867919921875,33.26985168457031,708.9672241210938,138.14791870117188,329.5625915527344,149.75396728515625,375.7961730957031,97.14061737060547,82.88336944580078,227.17527770996094,182.45632934570312,22.484939575195312,7260.72998046875,4556.6201171875,10832.3896484375
2023-11-23,,33.20127487182617,,,,,,97.17935180664062,83.12431335449219,228.85556030273438,182.84934997558594,22.582151412963867,7277.93017578125,,10851.6201171875
2023-11-24,189.25184631347656,33.436397552490234,711.8532104492188,136.3523712158203,330.0588684082031,149.95907592773438,375.37841796875,97.31494140625,83.64474487304688,229.19161987304688,183.73362731933594,22.65991973876953,7292.7998046875,4559.33984375,10879.51953125
2023-11-27,189.07252502441406,33.20127487182617,712.418701171875,136.0730743408203,328.657470703125,149.61724853515625,376.552001953125,97.0631332397461,82.85446166992188,227.46331787109375,181.67030334472656,22.368288040161133,7265.490234375,4550.43017578125,10821.0595703125
2023-11-28,189.68020629882812,33.19147872924805,718.3468017578125,136.86109924316406,328.5990905761719,149.95907592773438,380.61981201171875,96.26895904541016,82.18946075439453,226.50314331054688,181.8668212890625,22.552989959716797,7250.1298828125,4554.89013671875,10760.3798828125
2023-11-29,188.6541290283203,33.39720916748047,728.6233520507812,134.6565704345703,333.8582458496094,150.7209014892578,376.7907409667969,96.00746154785156,81.7654037475586,226.9832305908203,183.3406219482422,23.23346710205078,7267.64013671875,4550.580078125,10802.8798828125
2023-11-30,189.23193359375,34.004608154296875,732.4551391601562,132.20263671875,335.1141662597656,152.43983459472656,376.8503723144531,96.22053527832031,82.03526306152344,226.64718627929688,184.1266326904297,23.94310760498047,7310.77001953125,4567.7998046875,10854.3203125
2023-12-01,190.51705932617188,34.465057373046875,737.4471435546875,131.5343017578125,341.8745422363281,153.18209838867188,372.4743347167969,95.8331298828125,82.28583526611328,230.05577087402344,184.1266326904297,24.127809524536133,7346.14990234375,4594.6298828125,10887.3603515625
2023-12-04,188.71388244628906,34.15156173706055,737.5252075195312,128.95069885253906,342.8164978027344,154.3052978515625,367.1335144042969,96.82100677490234,83.01829528808594,236.48887634277344,182.16156005859375,24.09864616394043,7332.58984375,4569.77978515625,10952.4404296875
2023-12-05,192.68881225585938,34.66099548339844,735.4484252929688,130.6664581298828,335.32025146484375,154.28575134277344,370.4951171875,96.4820327758789,81.97743225097656,240.95364379882812,183.14410400390625,23.661195755004883,7386.990234375,4567.18017578125,10964.8095703125
2023-12-06,191.5929718017578,34.7393684387207,729.3336181640625,129.6988525390625,335.5361022949219,152.66445922851562,366.7953186035156,96.26895904541016,81.8135986328125,239.9934844970703,184.22488403320312,24.030597686767578,7435.990234375,4549.33984375,11001.6201171875
2023-12-07,193.5355987548828,34.77855682373047,731.6597900390625,136.59178161621094,338.13623046875,153.13327026367188,368.9336853027344,95.56195068359375,81.19679260253906,239.51339721679688,187.36898803710938,23.884780883789062,7428.52001953125,4585.58984375,10968.099609375
2023-12-08,194.97015380859375,35.23900604248047,730.9629516601562,134.6565704345703,344.2293701171875,154.8229217529297,372.19586181640625,96.24958801269531,81.6497573852539,243.21005249023438,189.8253173828125,24.312511444091797,7526.5498046875,4604.3701171875,11071.76953125
2023-12-11,192.44970703125,36.21868133544922,738.5008544921875,132.96075439453125,345.14190673828125,155.389404296875,369.2817687988281,95.90092468261719,82.47859191894531,244.1702117919922,189.23580932617188,24.3416748046875,7551.52978515625,4622.43994140625,11130.3603515625
2023-12-12,193.9739532470703,36.1599006652832,745.2537841796875,132.1926727294922,345.97589111328125,156.7762908935547,372.34503173828125,95.82345581054688,82.81591033935547,243.59410095214844,190.51309204101562,24.30278968811035,7543.5498046875,4643.7001953125,11151.2197265625
2023-12-13,197.211669921875,36.208885192871094,759.1323852539062,132.2425537109375,355.9054870605469,157.30368041992188,372.3350524902344,95.32951354980469,83.56764221191406,242.58592224121094,191.59388732910156,24.312511444091797,7531.22021484375,4707.08984375,11188.91015625
2023-12-14,197.361083984375,36.688926696777344,792.2094116210938,131.6140899658203,376.2552795410156,160.1653594970703,363.9409484863281,94.64188385009766,82.47859191894531,236.1048126220703,193.55894470214844,25.226295471191406,7575.85009765625,4719.5498046875,11209.9501953125
2023-12-15,196.8231201171875,37.00242233276367,803.8599243164062,132.27247619628906,373.3509826660156,161.37643432617188,368.7148742675781,95.01959228515625,81.71722412109375,234.61656188964844,192.96942138671875,24.934661865234375,7596.91015625,4719.18994140625,11191.8896484375
2023-12-18,195.14947509765625,36.688926696777344,781.7169799804688,135.46456909179688,369.31829833984375,162.35311889648438,370.6243896484375,94.99053955078125,82.1701889038086,235.4326934814453,191.79039001464844,24.643028259277344,7568.85986328125,4740.56005859375,11155.7998046875
2023-12-19,196.1955108642578,36.806488037109375,786.5656127929688,136.31246948242188,375.2544860839844,164.5213165283203,371.2311096191406,93.52810668945312,81.55338287353516,234.32850646972656,193.06768798828125,25.469324111938477,7574.669921875,4768.3701171875,11146.4296875
2023-12-20,194.09349060058594,36.74770736694336,774.6402587890625,137.998291015625,370.417236328125,162.6656494140625,368.60546875,93.53778839111328,81.53410339355469,233.8004150390625,193.460693359375,25.68318748474121,7583.43017578125,4698.35009765625,11144.8798828125
2023-12-21,193.94403076171875,36.53218078613281,784.3278198242188,140.07315063476562,373.4098815917969,163.59349060058594,371.50958251953125,93.93487548828125,81.23534393310547,235.24066162109375,194.14846801757812,25.585975646972656,7571.39990234375,4746.75,11132.599609375
2023-12-22,192.86813354492188,36.502784729003906,787.5864868164062,141.14051818847656,373.4883117675781,163.49581909179688,372.5439453125,94.13825988769531,81.7654037475586,234.5685577392578,193.65721130371094,25.605419158935547,7568.81982421875,4754.6298828125,11153.08984375
2023-12-26,192.32022094726562,,791.698974609375,141.17044067382812,374.4302673339844,164.4627227783203,372.6235046386719,,,,,,,4774.75,
2023-12-27,192.41983032226562,36.54197311401367,798.2162475585938,140.0232696533203,377.2463073730469,165.4491729736328,372.0367126464844,93.78959655761719,81.14859771728516,233.99244689941406,194.0502166748047,25.63458251953125,7571.81982421875,4781.580078125,11113.98046875
2023-12-28,192.8482208251953,36.297054290771484,799.3547973632812,139.8836212158203,379.1399841308594,166.32818603515625,373.2401123046875,93.74117279052734,80.99440002441406,232.792236328125,194.14846801757812,25.216575622558594,7535.16015625,4783.35009765625,11057.5498046875
2023-12-29,191.80218505859375,36.54197311401367,796.7930297851562,139.34495544433594,378.51202392578125,166.1328582763672,373.9960021972656,94.4384994506836,81.79432678222656,234.7605743408203,196.01527404785156,25.372112274169922,7543.18017578125,4769.830078125,11137.7900390625
2024-01-02,184.93821716308594,,785.505615234375,137.82870483398438,380.994384765625,168.06668090820312,368.8540954589844,,,,,,7530.85986328125,4742.830078125,
2024-01-03,183.553466796875,35.385955810546875,769.6542358398438,138.5768585205078,374.6069030761719,167.33416748046875,368.5855712890625,96.17211151123047,85.41806030273438,241.81781005859375,197.29257202148438,24.25418472290039,7411.85986328125,4704.81005859375,11170.259765625
2024-01-04,181.2223358154297,35.728843688964844,771.4208984375,136.0531005859375,375.7450866699219,168.4446258544922,365.94000244140625,95.65880584716797,86.5842056274414,244.2182159423828,194.83624267578125,24.672191619873047,7450.6298828125,4688.68017578125,11224.3701171875
2024-01-05,180.4950714111328,35.24879837036133,768.3585815429688,135.39474487304688,379.1694030761719,169.2897491455078,365.75103759765625,95.5232162475586,87.13356018066406,241.2897186279297,193.06768798828125,24.798566818237305,7420.68994140625,4697.240234375,11185.900390625
2024-01-08,184.8585205078125,35.56229782104492,782.453125,138.49705505371094,381.54388427734375,169.0440673828125,372.6533508300781,95.67817687988281,87.5094223022461,241.43373107910156,193.1659393310547,24.886056900024414,7450.240234375,4763.5400390625,11230.400390625
2024-01-09,184.4401092529297,35.46432876586914,779.83251953125,140.6018524169922,376.52020263671875,167.7075958251953,373.7473449707031,95.70722961425781,87.83709716796875,242.20187377929688,193.8537139892578,24.681913375854492,7426.6201171875,4756.5,11248.650390625
2024-01-10,185.4861297607422,35.61127853393555,777.7123413085938,141.92855834960938,374.773681640625,168.06138610839844,380.6894226074219,95.17455291748047,88.23224639892578,243.7861328125,191.59388732910156,24.74995994567871,7426.080078125,4783.4501953125,11255.0
2024-01-11,184.88841247558594,35.542701721191406,777.9578247070312,141.72906494140625,372.60528564453125,167.3538360595703,382.539306640625,93.63463592529297,88.01057434082031,240.6175994873047,191.9868927001953,24.32223129272461,7387.6201171875,4780.240234375,11153.6201171875
2024-01-12,185.2171630859375,35.87579345703125,784.8185424804688,142.29763793945312,370.6429138183594,166.12545776367188,386.3584289550781,94.66124725341797,88.11659240722656,242.44190979003906,194.83624267578125,24.604143142700195,7465.14013671875,4783.830078125,11226.400390625
2024-01-15,,35.67985534667969,,,,,,94.15763092041016,88.66593170166016,240.85763549804688,193.8537139892578,24.59442138671875,7411.68017578125,,11207.509765625
2024-01-16,182.93582153320312,35.57209396362305,776.7505493164062,142.13804626464844,373.2920837402344,165.0837860107422,388.1486511230469,95.290771484375,89.43694305419922,240.13751220703125,192.47816467285156,24.643028259277344,7398.0,4765.97998046875,11229.650390625
2024-01-17,181.98939514160156,35.36635971069336,772.87353515625,141.12057495117188,370.0836181640625,164.1993408203125,387.35302734375,95.08738708496094,90.25614166259766,237.40103149414062,190.70960998535156,24.58470344543457,7318.68994140625,4739.2099609375,11148.5595703125
2024-01-18,187.91693115234375,35.87579345703125,780.5587768554688,143.12559509277344,369.8187255859375,164.52365112304688,391.72906494140625,94.53534698486328,89.74534606933594,236.15281677246094,190.31658935546875,24.7694034576416,7401.35009765625,4780.93994140625,11185.8798828125
2024-01-19,190.83584594726562,34.563026428222656,790.5506591796875,146.01844787597656,375.00921630859375,167.3636474609375,396.50299072265625,94.36101531982422,90.40070343017578,234.37652587890625,188.4497833251953,24.28334617614746,7371.64013671875,4839.81005859375,11150.51953125
2024-01-22,193.1570281982422,35.523109436035156,779.3417358398438,145.62940979003906,378.6983947753906,167.1671142578125,394.354736328125,94.41912078857422,90.97895812988281,237.92913818359375,191.59388732910156,24.65275001525879,7413.25,4850.43017578125,11275.349609375
2024-01-23,194.44215393066406,35.20961380004883,777.90869140625,146.6768035888672,373.6060791015625,166.0664825439453,396.7317199707031,92.87921142578125,90.111572265625,234.0404510498047,195.13101196289062,24.419443130493164,7388.0400390625,4864.60009765625,11149.259765625
2024-01-24,193.7647247314453,35.542701721191406,771.224609375,148.33270263671875,372.2618408203125,167.55035400390625,400.371826171875,92.3174819946289,90.14048767089844,235.3846893310547,196.11354064941406,24.85689353942871,7455.64013671875,4868.5498046875,11196.8203125
2024-01-25,193.43597412109375,35.83660888671875,775.8475341796875,151.494873046875,375.49981689453125,169.94815063476562,402.6692810058594,93.16975402832031,89.38875579833984,232.36016845703125,199.4541473388672,24.99298858642578,7464.2001953125,4894.16015625,11209.01953125
2024-01-26,191.6925811767578,36.01294708251953,772.7459716796875,151.8140869140625,370.6821594238281,169.29957580566406,401.7344055175781,95.38762664794922,89.10926055908203,237.5930633544922,201.81222534179688,25.08047866821289,7634.14013671875,4890.97021484375,11390.1298828125
2024-01-29,191.0052032470703,36.19908905029297,774.1201171875,153.1308135986328,373.4000549316406,169.74179077148438,407.492919921875,96.25927734375,89.54296112060547,236.92095947265625,203.18777465820312,24.954103469848633,7640.81005859375,4927.93017578125,11429.830078125
2024-01-30,187.32913208007812,36.55177307128906,767.2788696289062,151.0858917236328,379.59130859375,173.2205352783203,406.36907958984375,95.91061401367188,89.23455047607422,236.87294006347656,203.18777465820312,25.274900436401367,7677.47021484375,4924.97021484375,11443.1298828125
2024-01-31,183.70291137695312,35.94437026977539,759.99609375,139.7539520263672,376.7851257324219,171.3435821533203,395.4189147949219,95.4554214477539,86.16015625,237.25701904296875,202.7947540283203,25.265180587768555,7656.75,4845.64990234375,11333.3798828125
2024-02-01,186.15362548828125,36.54197311401367,770.4197998046875,140.81134033203125,376.6281433105469,170.7244873046875,401.5852355957031,95.25203704833984,87.25884246826172,224.19876098632812,202.40174865722656,24.419443130493164,7588.75,4906.18994140625,11213.91015625
2024-02-02,185.14743041992188,37.00242233276367,773.4330444335938,142.0283203125,380.56268310546875,171.70718383789062,408.9847412109375,95.46510314941406,86.54566192626953,224.7748565673828,202.99127197265625,25.061037063598633,7592.259765625,4958.60986328125,11239.6796875
2024-02-05,186.9705047607422,36.54197311401367,768.6923217773438,143.32508850097656,375.8137512207031,171.48117065429688,403.445068359375,96.90817260742188,87.08536529541016,221.31825256347656,200.6331787109375,24.98326873779297,7589.9599609375,4942.81005859375,11274.4697265625
2024-02-06,188.5843963623047,36.79669189453125,773.4133911132812,143.74407958984375,377.7467041015625,172.07078552246094,403.285888671875,96.25927734375,86.82514953613281,221.36627197265625,203.38427734375,23.875059127807617,7638.97021484375,4954.22998046875,11245.0302734375
2024-02-07,188.6939697265625,37.1199836730957,780.0091552734375,145.18051147460938,379.38525390625,172.3950653076172,411.7994079589844,95.5232162475586,87.44196319580078,219.10987854003906,202.7947540283203,23.23346710205078,7611.259765625,4995.06005859375,11210.25
2024-02-08,187.6081085205078,37.266937255859375,778.5369262695312,145.5496063232422,377.7957458496094,171.77598571777344,411.8590393066406,95.24234771728516,84.781982421875,215.9413299560547,202.2052459716797,23.466772079467773,7665.6298828125,4997.91015625,11138.849609375
2024-02-09,188.37615966796875,37.36490249633789,782.4727783203125,148.63197326660156,377.03045654296875,171.98233032226562,418.2640380859375,92.40464782714844,85.10965728759766,215.9413299560547,203.18777465820312,23.602869033813477,7647.52001953125,5026.60986328125,11091.580078125
2024-02-12,186.680419921875,37.649009704589844,786.9386596679688,147.16558837890625,385.2527770996094,172.7488555908203,413.0028076171875,93.75086212158203,84.50248718261719,218.43775939941406,205.15283203125,23.816734313964844,7689.7998046875,5021.83984375,11179.2998046875
2024-02-13,184.57571411132812,37.36490249633789,763.6865234375,144.781494140625,371.6241149902344,171.2453155517578,404.11138916015625,93.36346435546875,84.83016204833984,219.39791870117188,204.95632934570312,23.44733238220215,7625.31005859375,4953.169921875,11142.7900390625
2024-02-14,183.6879425048828,38.129051208496094,770.881103515625,145.57952880859375,370.927490234375,172.9846954345703,408.01727294921875,93.77991485595703,84.6181411743164,218.1497039794922,213.40611267089844,23.573705673217773,7677.35009765625,5000.6201171875,11213.6396484375
2024-02-15,183.398681640625,38.589500427246094,783.2972412109375,142.4173583984375,378.1686096191406,176.75827026367188,405.09783935546875,95.01959228515625,84.7723388671875,217.90966796875,216.35369873046875,23.738964080810547,7743.419921875,5029.72998046875,11284.1796875
2024-02-16,181.85255432128906,39.22629165649414,779.3220825195312,140.17291259765625,377.2070617675781,175.9327850341797,402.6068420410156,94.08983612060547,85.23494720458984,219.10987854003906,218.7117919921875,23.797290802001953,7768.18017578125,5005.56982421875,11310.6103515625
2024-02-19,,39.216495513916016,,,,,,95.50384521484375,86.3143539428711,222.75851440429688,217.92576599121094,23.816734313964844,7768.5498046875,,
2024-02-20,181.1044464111328,39.33405685424805,783.3561401367188,140.77142333984375,377.2854919433594,176.6206817626953,401.3414001464844,96.46266174316406,87.48050689697266,222.95053100585938,219.497802734375,23.71952247619629,7795.22021484375,4975.509765625,11456.9599609375
2024-02-21,181.862548828125,39.36344528198242,790.5604858398438,142.19789123535156,380.9649658203125,177.7704315185547,400.73358154296875,95.9977798461914,86.77696228027344,221.65432739257812,221.0698699951172,23.816734313964844,7812.08984375,4981.7998046875,11428.740234375
2024-02-22,183.90737915039062,39.79450225830078,798.4027709960938,143.7340850830078,383.12359619140625,179.90292358398438,410.1695251464844,91.27149200439453,87.28775787353516,219.73399353027344,219.10479736328125,23.94310760498047,7911.60009765625,5087.02978515625,11386.169921875
2024-02-23,182.0620574951172,39.549583435058594,798.5499877929688,143.6044158935547,383.6926574707031,180.80699157714844,408.8642272949219,92.3465347290039,88.30934143066406,223.14256286621094,222.8384246826172,24.030597686767578,7966.68017578125,5088.7998046875,11496.759765625
2024-02-26,180.70545959472656,39.52019500732422,791.1296997070312,137.23020935058594,382.8782958984375,180.18788146972656,406.0743103027344,91.3199234008789,88.04912567138672,220.02203369140625,220.08734130859375,24.293067932128906,7929.81982421875,5069.52978515625,11452.8798828125
2024-02-27,182.17176818847656,39.37324142456055,785.7412109375,138.53695678710938,383.4571838378906,180.2763214111328,406.0145568847656,90.72914123535156,87.36486053466797,222.7104949951172,219.69432067871094,24.438884735107422,7948.39990234375,5078.18017578125,11440.4501953125
